snapshot_utc,source,source_url,source_id,project_name,developer,city,district,address,class,completion,latitude,longitude,price_available,price_note,price_total_min_uzs,price_total_max_uzs,price_total_min_usd,price_total_max_usd,price_per_sqm_min_uzs,price_per_sqm_min_usd,min_area_sqm,max_area_sqm,rooms_available,payment_methods,location_valid,location_issue
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/zhiloj-kompleks-majnuntol,zhiloj-kompleks-majnuntol,Asklepiy-svift,Asklepiy-svift,Toshkent shahri,Bektemir tumani,"Sotildi Bektemir, Tашкент, Бектемирский р-н , Сувчи (Водник)",Qulaylik,Topshirildi 2022,,,False,negotiable,,,,,,,38.1,101.0,"1, 2, 3",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/chinor,chinor,Chinor,Chinor,Toshkent shahri,Bektemir tumani,"Sotildi Bektemir, Хусайна Байкаро улица, д.29",Qulaylik,Topshirildi 2025,,,False,negotiable,,,,,,,44.4,80.4,"2, 3",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/elman-plaza,elman-plaza,Elman-plaza,Elman-plaza,Toshkent shahri,Bektemir tumani,"Ipoteka 25% To'lov rejasi Mutaxassis. jumla Bektemir, Хусайна Байкаро улица",Qulaylik,Topshirildi 2024,,,True,,550000000.0,1100000000.0,,,12500000.0,,44.0,87.0,"1, 2, 3, 4",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/fayzli-hayot,fayzli-hayot,Fdg,Fdg,Toshkent shahri,Bektemir tumani,"Sotildi Bektemir, Нуравшан улица, Куйлюк Ата махалля",Qulaylik,Topshirilishi 4kv 2027,,,False,negotiable,,,,,,,58.7,60.2,"2, 3",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/yangi-baxt,yangi-baxt,Nrg-bi,Nrg-bi,Toshkent shahri,Bektemir tumani,"Bektemir, Бектимирский район, Ташкент, 100000, Узбекистан",Qulaylik,Topshirilishi 4kv 2027,,,False,,,,,,,,,,,,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/musaffo-maskan,musaffo-maskan,O039zshahar-qurilish,O039zshahar-qurilish,Toshkent shahri,Bektemir tumani,"Bektemir, Бектимирский район, Ташкент, 100000, Узбекистан",Qulaylik,Topshirildi 2025,,,False,,,,,,,,,,,,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/qoyliq-katta-bozori,qoyliq-katta-bozori,Qoampquotyliq-katta-,Qoampquotyliq-katta-,Toshkent shahri,Bektemir tumani,"Bektemir, Ташкентская Кольцевая Автомобильная Дорога",Qulaylik,Topshirildi 2025,,,False,negotiable,,,,,,,35.1,79.0,"1, 2, 3",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/fayz,fayz,Riche-ville,Riche-ville,Toshkent shahri,Bektemir tumani,"Mutaxassis. jumla Bektemir, Зангиатинский район",Qulaylik,Topshirildi 2025,,,True,,351000000.0,628000000.0,,,9500756.0,,36.9,66.1,"1, 2, 3",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/shirin-hayot,shirin-hayot,Xonsaroy,Xonsaroy,Toshkent shahri,Bektemir tumani,"Ipoteka 25% To'lov rejasi Bektemir, Юкары Чирчик улица, д.72",Qulaylik,,,,False,negotiable,,,,,,,21.9,42.7,"1, 2",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/zamin-great-city,zamin-great-city,Zamin-great-city,Zamin-great-city,Toshkent shahri,Bektemir tumani,"Bektemir, Юкари Чирчик улица, д.62",Premium,Topshirilishi 4kv 2026,,,True,,315000000.0,315000000.0,,,9000000.0,,35.0,35.0,2,,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/zhiloj-kompleks-al-xorazmiy,zhiloj-kompleks-al-xorazmiy,Binar-group,Binar-group,Toshkent shahri,Chilonzor tumani,"Sotildi Chilonzor, Автошкола, Чиланзар-19",Qulaylik,Topshirildi 2023,,,False,negotiable,,,,,,,84.3,127.8,"2, 3, 4",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/dombirobod-residence,dombirobod-residence,Bm-group,Bm-group,Toshkent shahri,Chilonzor tumani,"Chilonzor, Гавхар улица, д.16",Qulaylik,Topshirilishi 1kv 2027,,,True,,236000000.0,420000000.0,,,7984791.0,,29.5,52.6,"1, 2",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/kompakt-house,kompakt-house,Chinor-group-develop,Chinor-group-develop,Toshkent shahri,Chilonzor tumani,"Chilonzor, Янгиюль, Ташкентская область, 112000, Узбекистан",Qulaylik,Topshirilishi 3kv 2026,,,True,,366000000.0,587000000.0,,,7500000.0,,48.8,78.2,"1, 2, 3",,True,ok
2026-06-20T05:00:05+00:00,domtut,https://domtut.uz/uz/nedvizhimost/dombirobod-city,dombirobod-city,Dombirobod-city,Dombirobod-city,Toshkent shahri,Chilonzor tumani,"Sotildi Chilonzor, Шаш улица, д.19а",Qulaylik,Topshirildi 2026,,,False,negotiable,,,,,,,55.3,69.7,"2, 3",,True,ok
